「ねぇねぇ。なにブツブツ言ってるのー？」	？？？「呐呐。你在嘀咕什么呢？」
なんでも、今年の春にわずか１７歳でアメリカの大学を飛び級で卒業し、研究論文がアメリカの学術雑誌『サイエンス』に載ったとか。	好像是说今年春天年仅１７岁的她就在美国的大学跳级毕业，研究论文还上了美国的学术杂志『科学』⋯⋯之类的。
	
記事で牧瀬紅莉栖と紹介されていた天才少女。	报道中牧瀨红莉栖被当作天才少女介绍。
	
掲載されていた写真に写っていたのが、今目の前にいるこの生意気そうな女だった。	刊载在照片里的人物，正是现在眼前这个看起来很拽的女生。
	
その写真でも、今と同じように不機嫌さ丸出しの顔だったのが印象に残っている。	印象里，那张照片上她也差不多是这种明显不爽的表情。
	
そんな天才が、なぜ俺に声をかけてきた？	此等的天才为什么要搭上我？
	
「ちょっと来てくれませんか」	红莉栖「能跟我过来一下吗」
	
険しい表情のまま周囲に素早く視線を走らせ、小声で耳打ちしてきた。	她板着脸快速环视了四周，然后向我低声细语道。
	
なんだ、この態度は。	这种态度算是什么回事啊。
	
牧瀬紅莉栖が会場の係員だとは思えない。	牧瀨红莉栖不太可能是会场的工作人员。
	
かといってドクター中鉢の関係者であるはずもない。	不过也不可能跟中钵博士有什么关系。
	
となると……まさか……！	这么说的话⋯⋯莫非是⋯⋯！
	
「き、貴様、“機関”の人間か！？」	伦太郎「你⋯⋯你是“机关”的人吗！？」
	
「はあ？」	红莉栖「哈啊？」
	
「くっ、まさかここまで手が回っているとは……。俺としたことが」	伦太郎「咕，没想到网撒得这么大⋯⋯我还真是失策了」
	
「ふざけてないで、ちょっと来てください」	红莉栖「别开玩笑了，请你给我过来一下」
	
「…………」	伦太郎「⋯⋯⋯⋯」
	
ここは黙って従うことにした。	现在还是听从她比较好。
	
今の俺は、ドクター中鉢にケンカを売ったことで明らかに注目を浴びてしまっている。	毕竟此刻跟中钵博士结下梁子的我，明显成为了周围注目的对象。
	
というか中鉢が俺をすさまじい勢いでにらみつけてきているわけだが。	其实中钵博士现在就正猛盯着我。
	
俺のような若造に図星を指され、さぞ悔しいのだろう。	被我这样的小辈一针见血的指责，估计相当悔恨吧。
	
とにかくこれ以上注目されるわけにはいかない。	总而言之，我不能再继续遭人注目了。
	
俺は狂気のマッドサイエンティスト。“機関”から追われている身なのだ。	毕竟我可是被机关锁追捕的狂气的疯狂科学家。
	
このままだと危険な事態になりそうな予感がする。	我有预感这样继续发展下去话状况会变得危险起来。
	
まゆりや周囲の聴衆を、そんな事態に巻き込むわけにはいかなかった。	不能把真由理和周围的听众卷入危险事态。
	
牧瀬紅莉栖は、おとなしくなった俺の手を引いて、会場の外に出た。	牧瀨红莉栖握起我不做反抗的手，跟我一起走出了会场。
	
「ここで俺になにかすれば人目に付くぞ。そうなれば貴様も色々まずいだろう」	伦太郎「在这对我出手的话会引人注意哦。要是那样的话你也不好办吧」
	
「なにかってなんですか、人聞きの悪い」	红莉栖「出手？别把人说得这么恶劣」
	
にらまれた。なかなかの迫力。	被她瞪了一眼。真够有魄力。
	
端整な顔立ちをしてるのに、かわいげの欠片もない。	明明五官长得端庄却看不出一丝可爱的感觉。
	
冷酷無比の美少女エージェントか……。	冷酷无情的美少女特工吗⋯⋯
	
波乱の予感だが、なぜか心が浮き立っている自分がいた。	虽然预料事态将要剧变，但自己内心却有些雀跃。
	
やはり俺は、混沌に身を置くことが好きらしい、ククク。	我果然还是喜欢这种置身于混沌中的感觉呢，咕咕咕。
	
「私は、あなたに聞きたいことがあるだけです」	红莉栖「我只是有话要问你而已」
	
「それに答える義理はない。“機関”のやり方は分かっている」	伦太郎「我没有回答你的理由。“机关”的行事手段我也知道」
	
「だから“機関”って？」	红莉栖「所以说“机关”是啥？」
	
その問いは無視してすかさずケータイを取り出し、耳に添えた。	无视了这个提问的我取出手机，放在了耳边。
	
「俺だ。“機関”のエージェントに捕まった。……ああ、牧瀬紅莉栖だ、あの女には気を付けろ……いや問題ない、ここはなんとか切り抜け––」	伦太郎「是我。我被“机关”的特务抓住了。⋯⋯对，是牧瀨红莉栖，要小心那个女人⋯⋯不，没问题，我会想办法––」
	
「…………っ」	红莉栖「⋯⋯⋯⋯啧」
	
いきなり紅莉栖は俺のケータイを取り上げてしまった。	红莉栖突然抢走了我的手机。
	
なんという早業。あまりに華麗な奇襲攻撃だったため、俺は抵抗することすらできなかった。	这是何等的迅速。在这种华丽的奇袭攻击前，我连抵抗的余力都没有。
	
「くっ、なにをする！」	伦太郎「咕、你干什么！」
	
「あれ？ このケータイ、電源切れてる」	红莉栖「咦？ 这手机，没开机啊」
	
「…………」	伦太郎「⋯⋯⋯⋯」
	
「……誰と話していたんですか？」	红莉栖「⋯⋯你刚才跟谁在说话？」
	
探るような視線を向けられ、俺は慌てて目を逸らした。	面对像是试探一般的目光我慌忙的移开了视线。
	
こいつ……できる。俺のアイデンティティを混乱させ精神崩壊を誘う気か。	这家伙⋯⋯有两把刷子。这是要诱导我的自我认知至崩坏吗。
	
立て直せ。俺はこの程度で揺らぎはしないぞ！	我得振作。这种程度我可是不会动摇的！
	
「き、貴様に答える義理はないが一応教えてやろう。それは俺以外が触ると自動的に電源がオフになる、特別製のケータイなのだっ。フゥーハハハ！」	伦太郎「虽、虽然我没回答你的理由但是姑且告诉你吧。那可是除了我以外的人触碰到就会自动关机的特制手机。呼哈哈哈！」
	
そんな特別製を持っているのもすべて機密保持のため。	用这种特制手机的原因是为了要保密。
	
引ったくるようにケータイを取り戻すと、俺は額に滲んだ冷や汗をそっと拭った。	像是抢夺一样的拿回了手机后，我擦了擦额头上的冷汗。
	
ふう、焦ったぜ。	呼，真危急。
	
「……そう。独り言だったのね」	红莉栖「⋯⋯哦。你是自言自语吧」
	
「……っ」	伦太郎「⋯⋯呃」
	
まずい。牧瀬紅莉栖は天才少女と呼ばれるだけあって一筋縄ではいかない。	糟糕了。不愧是被称为天才少女的牧瀨红莉栖，看来不是那么好对付。
	
それどころか俺に精神的揺さぶりをかけてきている！	不仅如此，她还能动摇我的精神！
	
くっ、ここはひとまず戦略的撤退をした方がよさそうだ。	咕，现在还是选择战略性撤退比较好。
	
なんとか隙を突かなければ……！	得想办法尽量抓住空隙⋯⋯！
	
と、表情を引き締めた紅莉栖が、いきなり俺に詰め寄ってきた。	绷紧着脸的红莉栖突然向我靠近过来。
	
至近距離から、その爛々とたぎる大きな瞳でまっすぐに見据えてくる。	她用明亮清澈的双瞳近距离打量着我。
	
なんと強い意志に満ち溢れた眼の輝きなんだ。	这双瞳里散发出光辉充满了无比强硬的意志。
	
俺は思わず見惚れてしまった。	我不禁看入了迷。
	
これほどのまっすぐで純粋な瞳の持ち主が、本当に“機関”のエージェントなのか……？	能有这此等纯粹的眼神的人，真的会是“机关”的特工吗⋯⋯？
	
「さっき、私になにを言おうとしたんですか？」	红莉栖「刚才你要准备跟我说什么？」
	
……さっき？	⋯⋯刚才？
	
「さっきとはいつのことだ？」	伦太郎「你说的刚才是什么时候的事？」
	
「ほんの１５分くらい前。会見が始まる前に」	红莉栖「也就１５分钟前左右。见面会开始之前」
	
なにをバカな。俺がこいつと会ったのは今が初めてだぞ。	怎么可能。我和这家伙是第一次见面。
	
１５分前にはまゆりと『うーぱ』のカプセルトイで盛り上がっていたのだ。	１５分钟前正和真由理在『乌帕』的扭蛋机玩得热闹才对。
	
「私に、なにか言おうとしましたよね？ すごく悲しそうな顔をして」	红莉栖「你是要向我说些什么对吧？ 一副相当悲伤的表情」
	
罠か？ いかにも薄汚い“機関”のやりそうなことだが。	这是陷阱吗？ 这还真像是“机关”会使出的下三滥手法。
	
しかしこの少女が、そんな手を使うだろうか。	可是眼前这名少女真的会用这种手段吗。
	
「まるで、今にも泣き出しそうで、それにすごく辛そうでした」	红莉栖「就像是快要哭了一样，而且很痛苦似的」
	
「……どうして？ 私、前にあなたと会ったことありますか？」	红莉栖「⋯⋯为什么？ 我在之前有见过你么？」
	
牧瀬紅莉栖は冗談を言っているようには見えない。	牧瀨红莉栖看起来不像是在开玩笑。
	
だからこそ、俺にとってこの女は、得体が知れない。	正因如此，我才觉得无法看透这个女人是什么来头。
	
そうだ、顔に騙されるな！	对了，不要被外观所蒙蔽！
	
こいつは冷酷無比なエージェント。	这家伙可是冷酷无情的特工。
	
少しでも隙を見せれば負ける……！	要是放松警惕就败了⋯⋯！
	
「そう言えばなんで私の名前、知ってるんです？」	红莉栖「说起来为什么你会知道我的名字？」
	
「俺はすべてお見通しなのだ」	伦太郎「对于我来说一切都一目了然」
	
なにしろマッドサイエンティストだからな。	因为不管怎么说我可是疯狂科学家。
	
「天才少女よ、次会うときは敵同士だな！」	伦太郎「天才少女啊，下次你我再见时就是敌人了！」
	
「はあ……？」	红莉栖「哈啊⋯⋯？」
	
「さらばだ、フゥーハハハ！」	伦太郎「再见了，呼哈哈哈！」
	
俺はその場で１８０度Ｕターンすると、颯爽とした足取りで階段を駆け下りた。	我当场１８０度转身后用飒爽的步伐跑下了楼梯。
	
牧瀬紅莉栖の呼び止める声が背後から追ってきたが、敵の言うことを聞くわけにはいかない。	虽然牧瀨红莉栖在背后喊我停下，但我可不能让敌人如愿。
	
「き、“機関”め、あれほどのエージェントを送り込んでくるとは、ついに本気になったようだな……！」	伦太郎「混⋯⋯混账“机关”，都派出这等优秀的特工了，也就意味着他们终于认真起来了吧⋯⋯！」
	
一気に４階まで駆け下りたところで後ろを振り返り、牧瀬紅莉栖が追いかけてこないという確信を得たところで、俺はこめかみを指で押さえ、深々と息をついた。	一口气跑到了四楼回头看了看。确定牧瀨红莉栖没有追上来后，我用手指按住太阳穴深深的呼了口气。
	
「だ、だが、俺はまだヤツらに捕まるわけにはいかんのだ……」	伦太郎「但⋯⋯但是，我可不能让他们给抓住⋯⋯」
	
さてと、これからどうすべきか。	那么接下来要怎么办好呢。
	
当初の目的であったドクター中鉢の会見内容については、単なるパクリだと分かった。だから俺があの会場へ戻る意味はもうない。	本来的目的是想听听中钵博士见面会的内容，可现在已经知道他只是抄袭别人而已。因此我再回去会场也没有任何意义了。
	
さっさと帰ろう。	还是赶紧回去吧。
	
それが最も妥当な選択だ。	这是最正确的选择。
	
そこでふと、重大ななにかを忘れていることに気付いた。	这时突然发觉忘记了一件重要的事。
	
はて、なんだっただろうと考えてみる。	好吧，认真思考了一下究竟是什么。
	
「チィッ！ まゆりを置いてきた……！」	伦太郎「切！ 漏下真由理了⋯⋯！」
	
あの足手まといめ。	那个累赘货。
	
連れてくるべきではなかった。	本来就不应该带上她的。
	
あいつの安全を一番に考えていたつもりなのに、俺は油断していたようだ。	明明最重视的就是她的安全，看起来我还是大意了。
	
ひとまずケータイに電話してみよう。場合によってはここに呼びつければいい。	先打她手机看看吧。然后看情况决定要不要让她到这里来。
	
そう思って自分のケータイを取り出した。電源を入れる。	这么想着我掏出手机按了开机。
	
途端に着信音が鳴った。	一开机就响铃声了。
	
「ん……？ メールか？」	伦太郎「嗯⋯⋯？ 来邮件了？」
	
これは普通のメールではなく、動画付きのムービーメールだ。	而且不是普通的邮件，而是附带视频的影像邮件。
	
送信者は、見覚えのないアドレス。	发件人⋯⋯我没见过的邮箱。
	
不審に思いつつ、ムービーを再生してみる。	我一边警惕着，一边点了播放视频。
	
「……？」	伦太郎「⋯⋯？」
	
ノイズのような音と映像が延々と垂れ流されるだけだった。	只有是段一只播着噪音和雪花的影像。
	
もしかしてイタズラか？ あるいは牧瀬紅莉栖によるなんらかの攻撃か？ このノイズは実は人をおかしくさせる怪音波だったりするとか。	莫非是谁的恶作剧？ 或者说是牧瀨红莉栖的攻击？ 莫非这种噪音是诱人发狂的音波之类的？
	
……いや、あの女にアドレスを教えた覚えはないので、それはさすがに考えすぎだろう。	⋯⋯不对，因为我根本没告诉她我的邮箱，这估计是我多虑了吧。
	
素直に再生してしまった間抜けっぷりに、俺は小さく舌打ちした。	我不禁为自己老老实实点开视频愚蠢行为咋了咂嘴。
	
そもそも今はこんなものに構っている場合ではない。	说来现在本来就没空管这些。
	
ムービーメールの再生を途中で止め、アドレス帳からまゆりのケータイを呼び出す。	将影像邮件的视频播放停止下来后我点开通讯录，拨打了真由理的号码。
	
「くっ、まゆり。なぜ出ない」	伦太郎「咕，真由理。为什么不接」
	
こうなると、会場に戻らざるを得ない。	这样一来就只能再回会场一趟了。
	
だがそこでまた牧瀬紅莉栖と鉢合わせしたら、面倒なことになる。	可是回去又碰上牧瀨红莉栖的话事情就麻烦了。
	
「ハッ、まさか牧瀬紅莉栖め、まゆりをさらったな……！」	伦太郎「啊，莫非牧瀨红莉栖她将真由理绑架了⋯⋯！」
	
「おのれぇぇ。それが“機関”のやり方か……！」	伦太郎「混账。这就是“机关”的手段吗⋯⋯！」
	
まゆりを置いていくという選択肢は、俺にはなかった。	我没有“扔下真由理一个人逃走”这样的选择。
	
過保護とは思いつつも、どうしても目が離せないのだ。あの妹的存在は、放っておくと勝手にフラフラとどこかへ行ってしまいそうな危うさがある。	虽然我也觉得自己对她过度保护，但是还是不能轻易将视线移开。毕竟那个像是妹妹一样的存在要是放着不管的话，总感觉她会不知不觉地就消失到不知道什么地方去。
	
どこかとはすなわち、ここではないどこか。	消失到一个不在这里某个地方，一去不复返。
	
昔から、まゆりにはそういうところがあった。	从以前开始真由理就给人这种感觉。
	
……俺が鳳凰院凶真となったのも、そんなまゆりの“危うさ”が原因だったりする。	⋯⋯而我之所以成为了凤凰院凶真，其原因包含了真由理的这种“危险性”。
	
「戻るしかないか……」	伦太郎「只能回去了吗⋯⋯」
	
また８階まで階段を上るかと思うと、げんなりした。	一想到又要走上８楼就让我感觉厌烦了起来。
	
会場へと戻ると、ドクター中鉢の会見がちょうど終わったところだった。	回到会场时，中钵博士的见面会刚好结束。
	
壇上は無人で、すでにエセ発明家は退席した後だった。	伪发明家已经离开，讲坛上空无一人了。
	
２０人ほどの聴衆も、おのおの帰り支度を始めようとしている。	而剩下２０人左右的听众们也正在开始各自做着离开的准备。
	
まゆりはすぐに見つかった。	一下就发现真由理了。
	
会場の隅で、１人でキョロキョロと周囲を見回している。	她在会场的角落里左顾右盼地看来看去。
	
どうやら拉致されたわけではなかったらしい。	看来好像不是被绑架了。
	
近くに牧瀬紅莉栖の姿は見当たらない。	牧瀨红莉栖也不在附近。
	
これは俺にとって好都合だった。	这对我来说时机正好。
	
「くくく、あの女、俺に怖じ気づいたか」	伦太郎「咕咕咕，那女人，惧怕我了吗」
	
「よかろう。今日のところは見逃してやるとしよう」	伦太郎「也好。今天就放过你吧」
	
というわけで周囲を警戒しつつ、まゆりの元へ駆け寄った。	说完我警戒着周围跑到真由理身边。
	
「まゆり、なぜ電話に出ない。そろそろ帰るぞ」	伦太郎「真由理，为什么不接电话。差不多要回去了哦」
	
「あ、オカリン。『メタルうーぱ』がいなくなっちゃった」	真由理「啊，冈伦。『合金乌帕』不见了」
	
しょんぼり顔で俺に訴えてくる。	她哭丧着脸向我说道。
	
「いなくなった？ 勝手に動き出したのか。それは実にファンタジーだな」	伦太郎「不见了？ 自己动起来跑了吗。那还真是玄幻呢」
	
「落としたみたい……」	真由理「好像是弄丢了⋯⋯」
	
なるほど、それで探していたのか。	原来如此，所以才在找么。
	
実にどうでもいいことだ。	还真是无关紧要的事情啊。
	
「見つからないなら諦めろ。また当てればいい」	伦太郎「找不到的话就算了吧。再抽一个就是」
	
「当たりっこないよ。だってね、『メタルうーぱ』はネットオークションで、１万円近いプレミアが付いてるんだよ？」	真由理「中不了了啦。因为『合金乌帕』可是在网上拍卖都要一万多日元的哦」
	
「な……に……？」	伦太郎「什⋯⋯么⋯⋯？」
	
そ、そんな値があの小さなオモチャに……？	那小玩具居然这么贵⋯⋯？
	
「まゆりよ、いったいどこで落としたのだ！？」	伦太郎「真由理呀，究竟是在哪里弄丢的！？」
	
「分かんないから探してるんだよぅ……。あと、見つけても、売らないからねー？」	真由理「就是因为不知道所以才在找啦⋯⋯还有，就算是找到了也不能卖哦」
	
「フハハ、その１万円、この俺の研究資金にしてやる」	伦太郎「呼哈哈，那一万日元就成为我的研究经费吧」
	
「だから、売らないってばー。まゆしぃの名前書いちゃったし」	真由理「都说了不能卖啦。而且上面也写了真由氏〜的名字了」
	
というわけで、目を皿のようにして『メタルうーぱ』を探すことにした。	就这样，我开始认真地寻找『合金乌帕』的下落。
	
「トゥットゥルー♪ うーぱさんうーぱさん、出ておいでー」	真由理「嘟嘟噜♪ 乌帕先生乌帕先生，快出来吧」
	
まゆりがそんな風に呼びかけているが、出てくるわけがない。	真由理这么喊道，但显然没什么用。
	
ちなみに“トゥットゥルー♪”とはまゆりの好きなフレーズで、色々な場面で口にする。	顺带一提这个“嘟嘟噜♪”是真由理喜欢的口头禅，在各种情形下都会挂在口边。
	
意味は……聞いたことはない。	至于意思⋯⋯没去问过。
	
『メタルうーぱ』は、なかなか見つからなかった。	『合金乌帕』还真不好找啊。
	
ということは落としたのは会場内ではなく、カプセルトイが置いてある７階の踊り場の方なのだろうか。	那么会不会是不在会场内掉的，而是在放扭蛋机的７楼楼梯间那边呢。
	
あるいは、落ちている『メタルうーぱ』を拾った人物が、プレミア価格に目がくらみ持ち帰った可能性がある。	也可能有人捡了『合金乌帕』，抵挡不住它的价值的诱惑直接带走了。
	
それを想像すると俺は悔しさに身悶えるしかなかった。	这么想象着一股悔恨让我浑身不舒服。
	
「おのれ、金にしか興味のない下劣なヤツめ、恥を知れ……！」	伦太郎「可恶，眼里只有钱的卑鄙小人，简直不知羞耻⋯⋯！」
	
「オカリンもねー」	真由理「冈伦你也是呢〜」
	
くっ、まゆりにツッコミを入れられるとは。	咕，居然被真由理吐槽了。
	
「ああああああああああああ––––！」	？？？「啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊––––！」
	
「！？」	伦太郎「！？」
	
な、なんだ、今の声は？	什⋯⋯什么，刚才的那声音是？
	
「悲鳴……かな？」	真由理「悲鸣⋯⋯吗？」
	
普通じゃない。	一点不寻常。
	
すでに会場に残っているのは、司会者や数人の係員など数えるほどだ。	留在会场的人也就是主持和工作人员那么数人而已。
	
会見を見に来ていた連中はそのほとんどが帰ってしまっていて、俺とまゆりを含め半分ほどしかいない。	来参加会面的人也大部分都回去了，算上真由理和我只剩下一半的人。
	
全員が、今の悲鳴を聞いて身をすくませていた。	而我们全员都听到了刚才的悲鸣。
	
不安げに、お互いの顔を見合わせている。	大家都不安地相互看着对方。
	
かくいう俺も、あまりに常軌を逸した悲鳴を聞いて、全身が総毛立っていた。	突然听到这种脱离常规的悲鸣，就算是我也感到一阵恶寒。
	
またなのか……？ さっきの爆発騒ぎに続いて、またなにか起きたのか？	又来了⋯⋯？ 继刚才的爆炸骚动之后，又发生什么了吗？
	
まゆりが、ギュッと俺の手を握りしめてくる。	真由理紧紧地握住了我的手。
	
「まゆり、ここにいろ」	伦太郎「真由理，你待在这里」
	
俺は一度ゴクリと息を呑むと、覚悟を決めて声のした方へと向かった。	我做好觉悟，做了一次深呼吸后，向着声音传来的方向走去。
	
階段の方ではなく、さらに奥の方へと続く通路。電気は消され、薄暗い。	那不是通向楼梯，而是前往楼层的更深处走廊。没有灯，光线昏暗，。
	
そちらの方から声は聞こえた気がした。	感觉声音是从那边传来的。
	
腰を低くし、周囲を警戒しながら慎重に歩を進める。	我将重心放低，警戒着四周，慎重地往前走去。
	
角を曲がってすぐに、“それ”が目に入った。	经过一个转角之后首先出现在眼里的就是“那个”。
	
通路の奥。	走廊的深处。
	
なにかが、うつ伏せに倒れている。	有个什么东西，趴倒了在地面。
	
誰かが、うつ伏せに倒れている。	那是一个人倒在了那里。
	
ピクリとも動かない。	一动不动。
	
服装には見覚えがあった。	服装看起来有印象。
	
それがなんなのか。	那究竟是什么。
	
それが誰なのか。	那究竟是谁。
	
すぐに理解した。	我一下就理解了。
	
「ひっ……」	伦太郎「啊⋯⋯」
	
牧瀬紅莉栖……。	那是牧瀨红莉栖⋯⋯
	
顔ははっきり見えないが。	虽然看不清楚脸。
	
間違いない。	但是一定没错。
	
つい１０分ほど前に、俺に絡んできた、あの生意気な天才少女が。	就１０分钟之前还在跟我纠缠的，那个狂妄的天才少女。
	
鮮やかなほどの紅い血溜まりの中に、倒れていた。	如今倒在了在鲜红的血泊之中。
	
死んでいる……。	死了⋯⋯
	
「え、な、なんで……？」	伦太郎「诶，为⋯⋯为什么⋯⋯？」
	
気が付けば俺は身を震わせていた。	回过神来，我才发现全身都在发抖。
	
どうしよう。逃げたい。逃げ出したい。	怎么办才好。想逃跑。想从这逃出去。
	
わざわざ見に来たりするんじゃなかった。	不应该专程来看才对的。
	
これは、明らかに異常だ。	这显然是异常状况。
	
普通じゃない。	这不正常。
	
牧瀬紅莉栖は、誰かに殺されたようにしか見えない。	牧瀨红莉栖怎么看都像是被人杀害了。
	
誰に––？	被谁––？
	
他には、人の姿はない––	这里，并没有其他人––
	
「う、うわああ……！」	主持人「哇，啊啊啊啊⋯⋯！」
	
ギクリとして振り返った。	我下了一跳，回过头。
	
俺だけでなく、数人の男たちが俺についてきていた。	不止我一人，还有几个男人也跟着我过来了。
	
みんな顔面を蒼白にして、紅莉栖の死体を見ている。	全员看着红莉栖的尸体都被吓得脸都白了。
	
「警察を呼べ！」	主持人「叫警察！」
	
震える声で叫んだのは、さっきの会見で司会をしていた男だった。	用发抖的声音这么喊着的是刚才在见面会中担任主持的男人。
	
その声を皮切りに、みんな悲鳴を上げ、一斉に逃げ出していく。	以他的这句话为开端，大家纷纷吓得喊叫起来，一股脑地向后逃离。
	
もちろん俺も彼らに続いた。この場に残る理由など、なにもなかった。	当然我也一样。根本没有什么理由需要让我留在这里。
	
牧瀬紅莉栖に同情するより、“逃げ出したい”“怖い”という感情の方が勝っていた。	比起对牧瀨红莉栖的同情，“想要逃”和“恐惧”的感情更胜一筹。
	
会場に戻ると、まゆりが泣きそうな顔で待っていた。	回到会场，真由理哭丧着脸在那等着。
	
「オカリン、どうしたの……？」	真由理「冈伦，怎么了⋯⋯？」
	
「で、出るぞっ」	伦太郎「我⋯⋯我们快走」
	
まゆりの手を引いて、一刻も早くこの場から離れることにした。	我牵起真由理的手，开始尽快离开这里。
	
階段を駆け下りながら、必死で先ほど見た紅莉栖の遺体の映像を脳裏から追い払おうとした。	一面从楼梯向下跑去，一面竭尽全力想要将刚才见到的红莉栖遗体的画面从脑海里抹去。
	
でも、ダメだ。	可是却毫无作用。
	
死体と言うより、彼女の身体の下に広がっていた血溜まりの鮮烈な紅が、目に焼き付いて離れない。	比起尸体，在她身下摊开的鲜血那刺眼的鲜红像是烧灼在眼球上一样挥之不去。
	
人の死体というものを、初めて見た。	这是我第一次看见⋯⋯人的尸体。
	
幸い、俺はこれまで肉親の死には立ち会ったことがなかったから。	幸运的是，我至今还没有见证过血亲的死亡。
	
誰かの葬式に出たこともなかったから。	也没有出席过别人的葬礼。
	
死体を見たのは、初めてで。	由于第一次⋯⋯看见尸体，
	
恐怖––と言うよりは気持ち悪さを覚えて、ゾクリと背筋を悪寒が走ったけれど。	我此刻感受到的与其说是恐惧，不如说是一种恶心的感觉，一种恶寒感在背部蔓延开来。
	
その程度の感想しか、抱けなかった。	也就只有这个程度的感想。
	
それ以上の感想は、浮かばなかった。	除此，没有任何想法。
	
俺と牧瀬紅莉栖の関係は、所詮その程度のものでしかない––	我和牧瀨红莉栖的关系说起来––也就只到这个程度而已
	
「はあ、はあ……」	伦太郎「哈啊，哈啊⋯⋯」
	
中央通りまで出て、やっと俺は立ち止まった。	跑到中央大道后，我终于才停了下来。
	
全速力で階段を駆け下りてきたこともあり、息が切れて苦しい。	加上因为之前下楼全力奔跑的缘故，现在上气不接下气。
	
「ねぇねぇ、なにがあったのー？ 顔色、すごく悪いけど……」	真由理「呐呐，发生了什么？ 脸色相当差的样子⋯⋯」
	
まゆりはケロッとしている。	真由理泰然自若地问道。
	
あの現場を見ていないからだろう。	是因为没看到那个现场所以才这样吧。
	
それにしても息すら切れていないとは。	不过她竟然连气都不喘。
	
こいつって、鈍くさそうに見えて実は運動神経はいいんだよな。	这家伙，看起来迟钝但是实际上运动神经相当好。
	
「人が……死んでた」	伦太郎「有人⋯⋯死了」
	
「え……」	真由理「诶⋯⋯」
	
何度か、深呼吸。	深呼吸了数次。
	
まだ脳裏にあの血の色は残っているが。	虽然脑海里仍然残留着那血的颜色。
	
それでも、だいぶ落ち着いてきた。	即使是这样，也已经冷静了许多了。
	
牧瀬紅莉栖は殺された。	牧瀨红莉栖被杀害了。
	
誰が犯人かは分からない。	犯人不知道是谁。
	
サイレンが遠くで聞こえるから、もうすぐ救急車が来るだろう。	从远处传来警笛声，估计急救车快要到了吧。
	
その後、警察も押しかけてきて、ここは大騒ぎになる。	在那之后，警察会赶到，这里将会变得十分混乱。
	
でも今はまだ、夏休みの秋葉原を歩く多くの人たちが、この事件に気付いていない。	可是在现在，暑假期间逛秋叶原的人们还没有注意到这个事件。
	
みんな、いつもと同じように歩いている。	大家都跟平时一样逛着。
	
家電や、萌えや、エロを求めて、歩いている。	为了寻求家电或是萌和工口而逛着。
	
いつもの、秋葉原だ。	这就是正常的秋叶原。
	
俺は、なんとなく、ポケットの中からケータイを取り出していた。	我突然想到，然后从口袋里掏出手机。
	
特に目的があったわけじゃなかった。	也没什么特别的目的。
	
あ、そうだ、牧瀬紅莉栖のことを教えてくれたダルに、さっき俺が見た驚くべき事件を伝えてやろう。そう思った。	只是想着要向给我介绍牧瀨红莉栖的桶子说一下我刚才所见到的惊愕的事件。
	
不謹慎と言えば、不謹慎だ。	要说我不稳重的话，也的确说得没错。
	
俺は興奮していた。頭に血が上っていたのかも。	我刚刚亢奋了。或许激动得有些大脑充血。
	
あんな出来事をこの目で見てしまった後じゃ、冷静な判断などできない。	毕竟在看了那样的事件之后，根本不能冷静地判断是非。
	
人間なんて、所詮そんなもの。	人类说起来也就是这样的。
	
それほど高尚な存在じゃない。	而并不是多高尚的存在。
	
そう、分かっているさ、結局のところ––	对，我明白，说到底––
	
ヘドロにも似た穢れた肉から成り立ち。	由像是淤泥一般的秽肉组成肉体，
	
子宮の中で腐り落ちる精液のごとき膿んだ精神を宿す。	在其之上，赋予有如在子宫中腐变的精液一般的，化脓的精神。
	
それが人間なんだ。	那就是人类。
	
などとちょっぴり感傷に浸りつつ、ケータイで文章を入力していく。	我沉浸在这轻微的感伤里，往手机里输入文字。
	
『牧瀬紅莉栖が男に刺されたみたいだ。男が誰かは知らないけどさ。ヤバいかも。大丈夫かな』	『牧瀨红莉栖好像被男的给捅了。不知道那男的是谁。情况可能很糟糕，不知道会不会得救』
	
犯人が男かどうかは分からない。ただなんとなく、女よりは男の方が現実的だな、という気がしただけで、俺の単なる憶測だ。	犯人是不是男的不清楚。只是感觉比起女的来说，还是男的比较现实。这单纯是的臆测。
	
ついでに言うと、刺殺かどうかも想像。	顺便说一下，捅杀也只是我的想像。
	
銃声はしなかったし、あれだけの血溜まりができていたからそう思っただけ。	毕竟没有枪声，还有那个从那个出血量来推断也估计就是这样。
	
一方で、明確に『殺された』と書くのはやめた。	而另一方面，我没有明确地写上『被杀死了』。
	
なぜなのか、理由は自分でもはっきりしたものはなかった。	我自己也不清楚为什么。
	
あえて言えば、書くことでそれが“確定”してしまいそうな気がしたから、だろうか。	硬要说的话，大概是因为担心如果这么写的话感觉事实就会被“确定”下来似的。
	
とても後ろめたい気分になりそうだったのだ。	这实在让人非常内疚。
	
別に、俺が殺したわけじゃないのに。そんな自分の奇妙な心理状態を考えて、苦笑した。	明明又不是我杀的。想到自己这奇怪的心理状态，我苦笑了起来。
	
ついさっき、１人の人間の死を目の当たりにしていながら、ほんの数分後には、笑っていられる。	在刚才见证了别人的死亡，却能在数分钟后就能笑出来。
	
こんな俺は、残酷で冷たい人間なのだろうか。	这样的我，算是残酷而又冷漠的人吗。
	
